!wl(nm)	Tr (CaF2)
4550 	0.9437
4550 	0.9437
4550 	0.9437
4550 	0.9437
4560 	0.9437
4560 	0.9437
4560 	0.9437
4560 	0.9437
4570 	0.9437
4570 	0.9438
4570 	0.9438
4570 	0.9438
4580 	0.9438
4580 	0.9438
4580 	0.9438
4580 	0.9438
4590 	0.9438
4590 	0.9438
4590 	0.9438
4590 	0.9438
4590 	0.9439
4600 	0.9439
4600 	0.9439
4600 	0.9439
4600 	0.9439
4610 	0.9439
4610 	0.9439
4610 	0.9439
4610 	0.9439
4620 	0.9439
4620 	0.9439
4620 	0.9439
4620 	0.9439
4630 	0.944
4630 	0.944
4630 	0.944
4630 	0.944
4640 	0.944
4640 	0.944
4640 	0.944
4640 	0.944
4650 	0.944
4650 	0.944
4650 	0.944
4650 	0.944
4660 	0.944
4660 	0.9441
4660 	0.9441
4660 	0.9441
4660 	0.9441
4670 	0.9441
4670 	0.9441
4670 	0.9441
4670 	0.9441
4680 	0.9441
4680 	0.9441
4680 	0.9441
4680 	0.9441
4690 	0.9441
4690 	0.9441
4690 	0.9441
4690 	0.9441
4700 	0.9441
4700 	0.9441
4700 	0.9441
4700 	0.9442
4710 	0.9442
4710 	0.9442
4710 	0.9442
4710 	0.9442
4720 	0.9442
4720 	0.9442
4720 	0.9442
4720 	0.9442
4730 	0.9442
4730 	0.9442
4730 	0.9442
4730 	0.9442
4740 	0.9442
4740 	0.9442
4740 	0.9442
4740 	0.9443
4740 	0.9443
4750 	0.9443
4750 	0.9443
4750 	0.9443
4750 	0.9443
4760 	0.9443
4760 	0.9443
4760 	0.9443
4760 	0.9443
4770 	0.9443
4770 	0.9443
4770 	0.9443
4770 	0.9443
4780 	0.9443
4780 	0.9444
4780 	0.9444
4780 	0.9444
4790 	0.9444
4790 	0.9444
4790 	0.9444
4790 	0.9444
4800 	0.9444
4800 	0.9444
4800 	0.9444
4800 	0.9444
4810 	0.9444
4810 	0.9444
4810 	0.9444
4810 	0.9444
4810 	0.9444
4820 	0.9444
4820 	0.9444
4820 	0.9444
4820 	0.9444
4830 	0.9444
4830 	0.9444
4830 	0.9444
4830 	0.9444
4840 	0.9445
4840 	0.9445
4840 	0.9445
4840 	0.9445
4850 	0.9445
4850 	0.9445
4850 	0.9445
4850 	0.9445
4860 	0.9445
4860 	0.9445
4860 	0.9445
4860 	0.9445
4870 	0.9445
4870 	0.9445
4870 	0.9445
4870 	0.9446
4880 	0.9446
4880 	0.9446
4880 	0.9446
4880 	0.9446
4880 	0.9446
4890 	0.9446
4890 	0.9446
4890 	0.9446
4890 	0.9446
4900 	0.9446
4900 	0.9446
4900 	0.9446
4900 	0.9446
4910 	0.9446
4910 	0.9446
4910 	0.9446
4910 	0.9446
4920 	0.9446
4920 	0.9446
4920 	0.9446
4920 	0.9447
4930 	0.9447
4930 	0.9447
4930 	0.9447
4930 	0.9447
4940 	0.9447
4940 	0.9447
4940 	0.9447
4940 	0.9447
4950 	0.9447
4950 	0.9448
4950 	0.9448
4950 	0.9448
4950 	0.9448
4960 	0.9448
4960 	0.9448
4960 	0.9448
4960 	0.9448
4970 	0.9448
4970 	0.9448
4970 	0.9448
4970 	0.9448
4980 	0.9448
4980 	0.9448
4980 	0.9448
4980 	0.9448
4990 	0.9448
4990 	0.9448
4990 	0.9448
4990 	0.9448
5000 	0.9448
5000 	0.9449
5000 	0.9449
5000 	0.9449
5010 	0.9449
5010 	0.9449
5010 	0.9449
5010 	0.9449
5020 	0.945
5020 	0.945
5020 	0.945
5020 	0.945
5020 	0.945
5030 	0.945
5030 	0.945
5030 	0.945
5030 	0.945
5040 	0.945
5040 	0.945
5040 	0.945
5040 	0.945
5050 	0.945
5050 	0.945
5050 	0.945
5050 	0.945
5060 	0.945
5060 	0.945
5060 	0.945
5060 	0.945
5070 	0.9451
5070 	0.9451
5070 	0.9451
5070 	0.9451
5080 	0.9451
5080 	0.9452
5080 	0.9452
5080 	0.9452
5090 	0.9452
5090 	0.9452
5090 	0.9452
5090 	0.9451
5100 	0.9451
5100 	0.9451
5100 	0.9451
5100 	0.9452
5100 	0.9452
5110 	0.9452
5110 	0.9452
5110 	0.9452
5110 	0.9452
5120 	0.9452
5120 	0.9452
5120 	0.9452
5120 	0.9452
5130 	0.9452
5130 	0.9452
5130 	0.9453
5130 	0.9453
5140 	0.9453
5140 	0.9453
5140 	0.9454
5140 	0.9454
5150 	0.9454
5150 	0.9454
5150 	0.9454
5150 	0.9454
5160 	0.9454
5160 	0.9454
5160 	0.9454
5160 	0.9454
5170 	0.9454
5170 	0.9454
5170 	0.9454
5170 	0.9455
5170 	0.9455
5180 	0.9455
5180 	0.9455
5180 	0.9455
5180 	0.9455
5190 	0.9455
5190 	0.9455
5190 	0.9455
5190 	0.9455
5200 	0.9456
5200 	0.9456
5200 	0.9456
5200 	0.9456
5210 	0.9456
5210 	0.9457
5210 	0.9456
5210 	0.9456
5220 	0.9456
5220 	0.9456
5220 	0.9456
5220 	0.9456
5230 	0.9456
5230 	0.9456
5230 	0.9456
5230 	0.9457
5240 	0.9457
5240 	0.9457
5240 	0.9457
5240 	0.9457
5240 	0.9457
5250 	0.9457
5250 	0.9457
5250 	0.9457
5250 	0.9457
5260 	0.9457
5260 	0.9457
5260 	0.9457
5260 	0.9457
5270 	0.9457
5270 	0.9457
5270 	0.9457
5270 	0.9457
5280 	0.9458
5280 	0.9458
5280 	0.9458
5280 	0.9458
5290 	0.9459
5290 	0.9459
5290 	0.9459
5290 	0.9459
5300 	0.9459
5300 	0.9459
5300 	0.9459
5300 	0.9459
5310 	0.9459
5310 	0.9459
5310 	0.9459
5310 	0.9459
5310 	0.9459
5320 	0.9459
5320 	0.9459
5320 	0.9459
5320 	0.9459
5330 	0.9459
5330 	0.9459
5330 	0.9459
5330 	0.9459
5340 	0.946
5340 	0.946
5340 	0.946
5340 	0.946
5350 	0.9461
5350 	0.9461
5350 	0.9461
5350 	0.9461
5360 	0.946
5360 	0.946
5360 	0.946
5360 	0.946
5370 	0.946
5370 	0.946
5370 	0.946
5370 	0.9461
5380 	0.9461
5380 	0.9461
5380 	0.9461
5380 	0.9461
5390 	0.9461
5390 	0.9461
5390 	0.9461
5390 	0.9461
5390 	0.9461
5400 	0.9462
5400 	0.9462
5400 	0.9462
5400 	0.9462
5410 	0.9463
5410 	0.9463
5410 	0.9464
5410 	0.9464
5420 	0.9465
5420 	0.9465
5420 	0.9465
5420 	0.9465
5430 	0.9464
5430 	0.9464
5430 	0.9464
5430 	0.9463
5440 	0.9463
5440 	0.9463
5440 	0.9463
